Tweet ID,Username,Content,Created At,User Location,Filtered Location
1213967159745040386,KiraCPH,How about all you war loving ppl start fighting the war against climate change. Start fighting all the wild fires out there. While you all fight amongst yourself the planet is in great danger. #ClimateEmegency #AustralianFires #ClimateAction #TrumpsWar #IranUsa,2020-01-05 23:34:59+00:00,Denmark,Denmark
1213887966692679681,EmmanuelMacron,"I express our solidarity with the Australian people in the face of wildfires that are currently ravaging their country. I called @ScottMorrisonMP this morning to offer immediate French operational assistance to fight fires, protect affected population and preserve biodiversity.",2020-01-05 18:20:18+00:00,France,France
1213965372195573761,VStefutti,"#Climatechange denial has played a major role in destroying our planet. We are facing a mass extinction event in Australia. Nearly 500 million animals have perished so far. A staggering, insane tragedy! #AustraliaBurns #AustraliaFires https://t.co/U1xlT5Aevz",2020-01-05 23:27:53+00:00,Rome/Turin,Italy
1213965302763003904,Belgiumfbernie,#worldwidesystemchange #endcapitalism #endneoliberalism #exxonknew #shellknew #ClimateEmegency #ClimateChange #youthforclimate,2020-01-05 23:27:37+00:00,Belgium,Belgium
1213965264972156928,hephaistionad,"Usually, you can see 100km to Point Nepean. You can't see 100m in front of you today. The smoke is blinding, intoxicating, terrifying - and I'm not even near the fires. It's so much more real when you see it. This needs to be a wake-up call: climate change is real. We need to act https://t.co/YDDc3jaBf0",2020-01-05 23:27:28+00:00,"Oxford, UK / Rome, Italy",Italy
1213964645066846209,Belgiumfbernie,#worldwidesystemchange #endcapitalism #endneoliberalism #exxonknew #shellknew #ClimateEmegency #ClimateChange #youthforclimate,2020-01-05 23:25:00+00:00,Belgium,Belgium
1213964457552035840,jrvanceauthor,@life_arts_lane How about a roaring log fire on a cold winter's day? (with apologies to #ClimateChange ),2020-01-05 23:24:15+00:00,France,France
1213964096355348481,EagleEyeEd,@BrendanLawlor8 @MaiaDunphy If the West are denying climate change exists what chance do you think countries ran by dictators will admit to it ?,2020-01-05 23:22:49+00:00,Ireland,Ireland
1213963502995623936,RichieHayes2,"@JoeBiden Climate Change is driving arsonists to set fires?
Is there anything it can't do?",2020-01-05 23:20:28+00:00,"Cork, Ireland",Ireland
1213963224971980802,Gettunoiu,"@JamesFo06955151 @tubbietech83 @BreesAnna I guess you don't understand english, comrade. 'Interesting🙄' means the opposite. It means 'you're full of shit, troll'.

#AustraliaOnFire  #GretaThunberg #ClimateEmergency
#ClimateChange https://t.co/vnjfYAkR3A",2020-01-05 23:19:21+00:00,The Netherlands,Netherlands
1213962613878611971,EveningColors,"@ScottMorrisonMP Too little too late. Shame on you. Remember Mr Morrison, the world is watching and knows what you did. Didn't do, I should say. All to prove climate change is not real. Shame on you and your cronies.",2020-01-05 23:16:56+00:00,The Netherlands,Netherlands
1213962467975417856,do_you_cli_fi_,"@arinbasu @RobMooreNRDC @teresesvoboda @millcitywriter @Revkin @Borabeet @LaddKeith @JohnHMaher @FreemanReads @carmitstead @katemyoder Yes, she doesn't look into it more. And open her closed mind. But she's that way, she's not gonna change. Her react to my tweet was to block me. That's the kind of climate ""guru"" she is. She must be under a lot of stress in her line of work. Her friends tell me so. I forgive her.",2020-01-05 23:16:21+00:00,"Paris, France",France
1213961655224283138,CarlosMorenoFr,"@_jyvv_ @ResistanceCC Les deux mon capitaine. Article d'aujourd'hui du journaliste scientifique @mrMattSimon chez @WIRED : ""#Jakarta is a victim of #climatechange, the fault of humans the world over (though mostly the fault of corporations)"" 
https://t.co/dPOeSPFM8X",2020-01-05 23:13:07+00:00,Paris,France
1222306814760562688,Pondershevik,"@beetgoodsnacc Thing is, I like mathematical modeling, and my thesis is about building a model which predicts characteristics of aquatic ecosystems from drought patterns. So if my model works, it could be coupled to climate models to predict ecological responses to climate change, for example.",2020-01-28 23:53:48+00:00,Belgium,Belgium
1222305088045232129,oliver_moran,"Housing, climate change, socialism vs green, mental health, drugs policy, even a united Ireland.

Tune in to a great debate with @MickBarryTD hosted by @mxtthxwmxynxhxn on @UCC983FM to be broadcast tomorrow! #GE2020 https://t.co/I7u9u1AnMS",2020-01-28 23:46:56+00:00,"Cork, Ireland",Ireland
1222303421983862785,greenvegana,"Who joins me at this event?!
Come along and let's share our ideas for a better Sénégal, more sustainable for us and the next generations 🌱🙏🏾.
#VilleDurable #ClimateChange #Dakar #Kebetu",2020-01-28 23:40:19+00:00,Paris - Dakar,France
1220696092532187136,tomselliott,"@algore @GretaThunberg Jane Goodall @ Davos: ""All these [environmental] things we talk about wouldn’t be a problem if there was the size of population that there was 500 years ago.”

The world population 500 years ago is estimated btwn 420 and 540 million —  6.7 billion fewer people than today. https://t.co/Aa8aztiAeZ",2020-01-24 13:13:22+00:00,"Madrid, Spain",Spain
1222303145730113539,AntonPrince7,"@CassiusYoutube No I agree with that, plastic is a major pollutant and we humans are harming the planet with it; we need to use less plastic and clean up our mess. I'm really only sceptical about our ability to destroy the planet through climate change when it‘s a process we hardly control...",2020-01-28 23:39:13+00:00,The Netherlands,Netherlands
1222302814220800001,StephenKenealy,"Always inspired by the deep and very thoughtful @diarmuidlyng on @offtheball who broke down the daunting, stress inducing climate crisis and asked us to think about simple, small changes that we can all make in our lives and communities. Worth a listen https://t.co/OVVa3uTiVx",2020-01-28 23:37:54+00:00,"Dublin, Ireland",Ireland
